商品标题,价格,品牌名,一级分类名,二级分类名,商品头像地址,颜色,大小,尺码,货号,商品详情页顶部大图地址,详情文本（逗号必须是中文符逗号）,详情图片（多个请用“|”分割）
冬季韩版羽绒服,999.99,abc,上衣,羽绒服,weishop.png,红色|黄色|橙色,130|140|150|160,xl|xxl|xxx,v-001,1_1.jpg,超级保暖,1_1.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
夏季韩版裤子,9999.99,abc,下衣,裤子,weishop.png,橙色|红色|黄色,180|130|150|140,xl|xxx,v-002,2_2.jpg,超级好看的裤子,2_2.jpg|2_2.jpg|2_2.jpg
